chargeDeviceID,connector_type,rated_power_kW,charge_method,status
64ef2ea64628f8637405b177544a8c7a,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
60a95147556059ecd084e4806c8e3f12,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
e2a439dc2f9b3d74c386f75f44d6952e,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
a9df17bb7b098ab387a62d2c532d38c1,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
9e022f45db1842518edd8c458cbb27da,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
9daff58346c37a54d31d0219bd873f6a,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
8666e80da94041f82c4a15e07d16b301,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
44bd4e9201ef816712f5a13b15d61550,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
09b7a4a038775fbc2e32531b8e7d104d,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
b8cdd7f5ecbce38958c414430e4a8646,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
d3f550659b7dc9b755d2151d8b476a4a,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
26519932e15ae812a698bc2e0b1d1377,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
a8bcafd5b5b762c89201bd4cbfbeb68b,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
94c7ac665bbf77879483b04272744424,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
61cd1147949b0deeef1994b10eaf6108,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
53078424bffd4f61f37db5fc749e1afd,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
4ed0bf4797275056399e7725ed8d0937,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
81478370014e6075aea19486b7a0f032,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
27b6f7613db8fd8a364b6919407e79dc,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
653d7835215f811c869d85a6975c1299,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
0f05bbcb3df7c164645a5559391314fb,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
f42df120eeab346af8408eba95aed72b,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
aec1abb4077bda7ced0afe7078ad544e,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
37f5bdb3a2a1159584d0a30e9a1e71bf,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
84b2e499f3b9f036dcb51280d66f3e11,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
