brand_name,model,release_year,usable_battery_size,energy_consumption/average_consumption,ac_charger/usable_phases,ac_charger/max_power,dc_charger/max_power,dc_charger/charging_curve/0/percentage,dc_charger/charging_curve/0/power,dc_charger/charging_curve/1/percentage,dc_charger/charging_curve/1/power,dc_charger/charging_curve/2/percentage,dc_charger/charging_curve/2/power,dc_charger/charging_curve/3/percentage,dc_charger/charging_curve/3/power,dc_charger/is_default_charging_curve,range,consumption,dc_charger/charging_curve/4/percentage,dc_charger/charging_curve/4/power,dc_charger/charging_curve/5/percentage,dc_charger/charging_curve/5/power,dc_charger/charging_curve/6/percentage,dc_charger/charging_curve/6/power,dc_charger/charging_curve/7/percentage,dc_charger/charging_curve/7/power,dc_charger/charging_curve/8/percentage,dc_charger/charging_curve/8/power,dc_charger/charging_curve/9/percentage,dc_charger/charging_curve/9/power,dc_charger/charging_curve/10/percentage,dc_charger/charging_curve/10/power,dc_charger/charging_curve/11/percentage,dc_charger/charging_curve/11/power
BMW,i7,2023,101.7,19.6,3,11,200,0,200,50,200,80,120,100,60,FALSE,520,,,,,,,,,,,,,,,,,
BMW,iX M70 xDrive,2025,108.9,21.8,3,11,195,0,195,50,195,80,117,100,58.5,FALSE,500,,,,,,,,,,,,,,,,,
BMW,iX1 eDrive20,2023,64.7,16.6,3,11,128,0,128,50,128,80,76.8,100,38.4,FALSE,390,16.6,,,,,,,,,,,,,,,,
BMW,i5 xDrive40 Touring,2025,81.2,18.2,3,136,206,0,206,50,206,80,103,100,41.2,FALSE,515,,,,,,,,,,,,,,,,,
BMW,i3 94,2016,27.2,16.5,3,27.2,47,0,47,70,47,80,32.9,100,27.2,FALSE,,,,,,,,,,,,,,,,,,
BMW,i3 94,2017,27.2,16.5,3,27.2,27.2,0,27.2,70,27.2,80,19.04,100,27.2,FALSE,,,,,,,,,,,,,,,,,,
BMW,i3s 94,2017,27.2,17,3,27.2,27.2,0,27.2,70,27.2,80,19.04,100,27.2,FALSE,,,,,,,,,,,,,,,,,,
BMW,120 ah,2018,37.9,16.5,3,37.9,37.9,0,37.9,50,37.9,80,22.74,100,37.9,FALSE,,,,,,,,,,,,,,,,,,
BMW,edrive40,2021,80.7,15.7,3,11,80.7,0,80.7,20,80.7,40,65,60,48,TRUE,,,80,32,100,11,,,,,,,,,,,,
BMW,xdrive40,2021,71,19.7,3,11,71,0,71,20,71,40,57,60,43,TRUE,,,80,28,100,11,,,,,,,,,,,,
BMW,xdrive50,2021,105.2,20.8,3,11,105.2,0,105.2,20,105.2,40,84,60,63,TRUE,,,80,42,100,11,,,,,,,,,,,,
BMW,m50,2021,80.7,17.9,3,11,80.7,0,80.7,20,80.7,40,65,60,48,TRUE,,,80,32,100,11,,,,,,,,,,,,
BMW,m60,2022,105.2,21.7,3,11,105.2,0,105.2,20,105.2,40,84,60,63,TRUE,,,80,42,100,11,,,,,,,,,,,,
BMW,xdrive60,2022,101.7,19.9,3,11,101.7,0,101.7,30,101.7,60,71.19,80,40.68,FALSE,,,100,11,,,,,,,,,,,,,,
BMW,xdrive30,2022,64.7,17,3,11,64.7,0,64.7,30,64.7,60,45.29,80,25.88,FALSE,,,100,11,,,,,,,,,,,,,,
BMW,edrive35,2022,67,15.6,3,11,67,0,67,30,67,60,46.9,80,26.8,FALSE,,,100,11,,,,,,,,,,,,,,
BMW,m70 xdrive,2023,101.7,20.8,3,22,101.7,0,101.7,30,101.7,60,71.19,80,40.68,FALSE,,,100,22,,,,,,,,,,,,,,
BMW,edrive50,2023,101.7,19.6,3,11,101.7,0,101.7,30,101.7,60,71.19,80,40.68,FALSE,,,100,11,,,,,,,,,,,,,,
BMW,edrive40 sedan,2023,81.2,17.3,3,11,81.2,0,81.2,30,81.2,60,56.84,80,32.48,FALSE,,,100,11,,,,,,,,,,,,,,
BMW,m60 xdrive sedan,2023,81.2,19.3,3,11,81.2,0,81.2,30,81.2,60,56.84,80,32.48,FALSE,,,100,11,,,,,,,,,,,,,,
BMW,edrive20,2023,64.7,16.6,3,11,64.7,0,64.7,30,64.7,60,45.29,80,25.88,FALSE,,,100,11,,,,,,,,,,,,,,
BMW,xdrive30,2023,64.7,16.8,3,11,64.7,0,64.7,30,64.7,60,45.29,80,25.88,FALSE,,,100,11,,,,,,,,,,,,,,
BMW,xdrive40 sedan,2024,81.2,17.8,3,11,81.2,0,81.2,30,81.2,60,56.84,80,32.48,FALSE,,,100,11,,,,,,,,,,,,,,
BMW,edrive20,2024,64.7,16.4,3,11,64.7,0,64.7,30,64.7,60,45.29,80,25.88,FALSE,,,100,11,,,,,,,,,,,,,,
BYD,HAN,2023,85.4,18,3,6.6,85.4,0,85.4,20,85.4,40,68,60,51,TRUE,,,80,34,100,11,,,,,,,,,,,,
BYD,TANG,2022,86.4,24.3,3,7.4,86.4,0,86.4,40,86.4,70,69.12,90,34.56,FALSE,,,100,7.4,,,,,,,,,,,,,,
BYD,Dolphin,2023,60.5,17.8,3,11,88,0,83.6,75,88,100,11,,,TRUE,,,,,,,,,,,,,,,,,,
